Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL
Steven Adams,59.199999999999996,33.300000000000004,58.199999999999996,10.9,2.3,9.3,1.1,0.8
Bam Adebayo,55.7,14.299999999999999,69.1,15.9,5.1,10.2,1.3,1.1
LaMarcus Aldridge,49.3,38.9,82.69999999999999,18.9,2.4,7.4,1.6,0.7
Kyle Alexander,50.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0
Nickeil Alexander-Walker,36.8,34.599999999999994,67.60000000000001,5.7,1.9,1.8,0.2,0.4
Grayson Allen,46.6,40.400000000000006,86.7,8.7,1.4,2.2,0.1,0.3
Jarrett Allen,64.9,0.0,63.3,11.1,1.6,9.6,1.3,0.6
Kadeem Allen,43.2,31.3,63.6,5.0,2.1,0.9,0.2,0.5
Al-Farouq Aminu,29.099999999999998,25.0,65.5,4.3,1.2,4.8,0.4,1.0
Justin Anderson,26.3,20.7,50.0,2.8,0.8,2.1,0.6,0.0
Kyle Anderson,47.4,28.199999999999996,66.7,5.8,2.4,4.3,0.6,0.8
Ryan Anderson,28.599999999999998,20.0,0.0,2.5,1.0,3.5,0.0,0.5
Giannis Antetokounmpo,55.300000000000004,30.4,63.3,29.5,5.6,13.6,1.0,1.0
Kostas Antetokounmpo,100.0,0.0,50.0,1.4,0.4,0.6,0.0,0.0
Thanasis Antetokounmpo,50.0,0.0,41.199999999999996,2.8,0.8,1.2,0.1,0.4
Carmelo Anthony,43.0,38.5,84.5,15.4,1.5,6.3,0.5,0.8
OG Anunoby,50.5,39.0,70.6,10.6,1.6,5.3,0.7,1.4
Ryan Arcidiacono,40.9,39.1,71.1,4.5,1.7,1.9,0.1,0.5
Trevor Ariza,43.8,37.2,83.8,8.0,1.7,4.6,0.3,1.3
D.J. Augustin,39.900000000000006,34.8,89.0,10.5,4.6,2.1,0.0,0.6
Deandre Ayton,54.6,23.1,75.3,18.2,1.9,11.5,1.5,0.7
Dwayne Bacon,34.8,28.4,66.0,5.7,1.3,2.6,0.1,0.6
Marvin Bagley III,46.7,18.2,80.60000000000001,14.2,0.8,7.5,0.9,0.5
Lonzo Ball,40.300000000000004,37.5,56.599999999999994,11.8,7.0,6.1,0.6,1.4
Mo Bamba,46.2,34.599999999999994,67.4,5.4,0.7,4.9,1.4,0.4
J.J. Barea,41.099999999999994,37.6,90.9,7.7,3.9,1.8,0.1,0.2
Harrison Barnes,46.0,38.1,80.10000000000001,14.5,2.2,4.9,0.2,0.6
RJ Barrett,40.2,32.0,61.4,14.3,2.6,5.0,0.3,1.0
Will Barton,45.0,37.5,76.7,15.1,3.7,6.3,0.5,1.1
Keita Bates-Diop,42.699999999999996,33.0,72.0,6.5,0.7,2.9,0.5,0.4
Nicolas Batum,34.599999999999994,28.599999999999998,90.0,3.6,3.0,4.5,0.4,0.8
Aron Baynes,48.0,35.099999999999994,74.7,11.5,1.6,5.6,0.5,0.2
Kent Bazemore,37.5,34.4,76.9,8.8,1.4,4.3,0.6,1.1
Darius Bazley,39.4,34.8,69.39999999999999,5.6,0.7,4.0,0.7,0.4
Bradley Beal,45.5,35.3,84.2,30.5,6.1,4.2,0.4,1.2
Malik Beasley,42.5,38.800000000000004,81.8,11.2,1.4,2.7,0.1,0.7
Marco Belinelli,39.2,37.6,82.8,6.3,1.2,1.7,0.0,0.2
Jordan Bell,52.2,33.300000000000004,61.3,3.2,0.6,2.8,0.3,0.1
DeAndre' Bembry,45.6,23.1,54.2,5.8,1.9,3.5,0.4,1.3
Dragan Bender,44.6,34.9,71.39999999999999,6.7,1.8,4.6,0.6,0.3
Dāvis Bertāns,43.4,42.4,85.2,15.4,1.7,4.5,0.6,0.7
Patrick Beverley,43.1,38.800000000000004,66.0,7.9,3.6,5.2,0.5,1.1
Khem Birch,51.0,0.0,65.3,4.4,1.0,4.6,0.5,0.4
Goga Bitadze,46.7,19.0,72.7,3.2,0.4,2.0,0.7,0.2
Bismack Biyombo,54.300000000000004,0.0,60.3,7.4,0.9,5.8,0.9,0.2
Nemanja Bjelica,48.1,41.9,82.1,11.5,2.8,6.4,0.6,0.9
Eric Bledsoe,47.5,34.4,79.0,14.9,5.4,4.6,0.4,0.9
Bogdan Bogdanović,44.0,37.2,74.1,15.1,3.4,3.4,0.2,1.0
Bojan Bogdanović,44.7,41.4,90.3,20.2,2.1,4.1,0.1,0.5
Bol Bol,50.0,44.4,80.0,5.7,0.9,2.7,0.9,0.3
Jonah Bolden,36.4,0.0,50.0,1.4,0.0,1.3,0.3,0.4
Marques Bolden,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Jordan Bone,25.0,20.0,0.0,1.2,0.8,0.4,0.0,0.1
Isaac Bonga,50.4,35.199999999999996,81.2,5.0,1.2,3.4,0.3,0.7
Devin Booker,48.9,35.4,91.9,26.6,6.5,4.2,0.3,0.7
Chris Boucher,47.199999999999996,32.2,78.4,6.6,0.4,4.5,1.0,0.4
Brian Bowen,30.0,0.0,0.0,1.0,0.0,1.2,0.2,0.0
Ky Bowman,41.699999999999996,30.8,82.89999999999999,7.4,2.9,2.7,0.2,1.0
Avery Bradley,44.4,36.4,83.3,8.6,1.3,2.3,0.1,0.9
Tony Bradley,66.7,100.0,65.2,4.9,0.4,4.6,0.6,0.2
Jarrell Brantley,35.699999999999996,23.1,50.0,2.7,1.2,2.2,0.6,0.3
Ignas Brazdeikis,27.3,11.1,80.0,1.9,0.4,0.6,0.1,0.0
Corey Brewer,50.0,0.0,33.300000000000004,1.0,0.4,1.6,0.0,0.8
Mikal Bridges,51.0,36.1,84.39999999999999,9.1,1.8,4.0,0.6,1.4
Miles Bridges,42.4,33.0,80.9,13.0,1.8,5.6,0.7,0.6
Oshae Brissett,36.1,20.0,80.0,1.9,0.4,1.4,0.1,0.2
Ryan Broekhoff,37.3,39.2,87.5,4.2,0.6,2.5,0.2,0.3
Malcolm Brogdon,43.8,32.6,89.2,16.5,7.1,4.9,0.2,0.6
Dillon Brooks,40.699999999999996,35.8,80.80000000000001,16.2,2.1,3.3,0.4,0.9
Bruce Brown,44.3,34.4,73.9,8.9,4.0,4.7,0.5,1.1
Charlie Brown Jr.,31.6,33.300000000000004,100.0,2.0,0.2,0.4,0.2,0.2
Jaylen Brown,48.1,38.2,72.39999999999999,20.3,2.1,6.4,0.4,1.1
Moses Brown,40.0,0.0,37.5,1.2,0.1,1.6,0.1,0.1
Sterling Brown,37.1,32.4,80.0,5.1,1.0,3.5,0.1,0.6
Troy Brown Jr.,43.9,34.1,78.4,10.4,2.6,5.6,0.1,1.2
