Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL,All-Star,Salary
Aaron Gordon,43.7,30.8,67.4,14.4,3.7,7.7,0.6,0.8,0,19863636
Aaron Holiday,41.4,39.4,85.1,9.5,3.4,2.4,0.2,0.8,0,2329200
Abdel Nader,46.800000000000004,37.5,77.3,6.3,0.7,1.8,0.4,0.4,0,1618520
Admiral Schofield,38.0,31.1,66.7,3.0,0.5,1.4,0.1,0.2,0,1000000
Al Horford,45.0,35.0,76.3,11.9,4.0,6.8,0.9,0.8,0,28000000
Al-Farouq Aminu,29.099999999999998,25.0,65.5,4.3,1.2,4.8,0.4,1.0,0,9258000
Alec Burks,41.8,38.5,88.7,15.0,2.9,4.3,0.3,0.9,0,1620564
Alex Caruso,41.199999999999996,33.300000000000004,73.4,5.5,1.9,1.9,0.3,1.1,0,2750000
Alex Len,55.50000000000001,27.1,64.8,8.0,0.9,5.8,0.9,0.4,0,4160000
Alfonzo McKinnie,42.699999999999996,21.5,71.0,4.6,0.4,2.8,0.2,0.6,0,1500000
Alize Johnson,41.4,37.5,70.0,2.0,0.4,2.8,0.1,0.2,0,1416852
Allen Crabbe,35.6,30.3,71.39999999999999,4.6,0.9,2.1,0.1,0.4,0,18500000
Allonzo Trier,48.1,35.8,79.10000000000001,6.5,1.2,1.2,0.2,0.1,0,3551000
Amile Jefferson,35.699999999999996,0.0,35.699999999999996,0.8,0.2,1.3,0.2,0.1,0,1529007
Andre Drummond,53.300000000000004,14.299999999999999,57.49999999999999,17.7,2.7,15.2,1.6,1.9,0,27093019
Andre Iguodala,43.2,29.799999999999997,40.0,4.6,2.4,3.7,1.0,0.7,0,17185185
Andre Roberson,27.6,21.4,50.0,2.9,0.6,3.9,0.4,0.1,0,10740740
Andrew Wiggins,44.7,33.2,70.89999999999999,21.8,3.7,5.1,1.0,0.8,0,27504630
Anfernee Simons,39.900000000000006,33.2,82.6,8.3,1.4,2.2,0.1,0.4,0,2149560
Anthony Davis,50.3,33.0,84.6,26.1,3.2,9.3,2.3,1.5,1,27093018
Anthony Tolliver,35.699999999999996,33.800000000000004,72.39999999999999,3.6,0.8,2.8,0.2,0.3,0,183115
Aron Baynes,48.0,35.099999999999994,74.7,11.5,1.6,5.6,0.5,0.2,0,5453280
Austin Rivers,42.1,35.6,70.3,8.8,1.7,2.6,0.1,0.7,0,2147317
Avery Bradley,44.4,36.4,83.3,8.6,1.3,2.3,0.1,0.9,0,4767000
Bam Adebayo,55.7,14.299999999999999,69.1,15.9,5.1,10.2,1.3,1.1,1,3454080
Ben McLemore,44.4,40.0,74.6,10.1,0.8,2.2,0.2,0.6,0,2028594
Ben Simmons,57.99999999999999,28.599999999999998,62.1,16.4,8.0,7.8,0.6,2.1,1,8113930
Bismack Biyombo,54.300000000000004,0.0,60.3,7.4,0.9,5.8,0.9,0.2,0,17000000
Blake Griffin,35.199999999999996,24.3,77.60000000000001,15.5,3.3,4.7,0.4,0.4,0,34449964
Bobby Portis,45.0,35.8,76.3,10.1,1.5,5.1,0.3,0.5,0,15000000
Brad Wanamaker,44.800000000000004,36.3,92.60000000000001,6.9,2.5,2.0,0.2,0.9,0,1445697
Bradley Beal,45.5,35.3,84.2,30.5,6.1,4.2,0.4,1.2,0,27093019
